Genes	JQ1
NPDC1	0
PPARD	0
HMGCR	0
SMNDC1	-2
MMP2	-2
CD44	0
CDH3	2
DUSP11	0
STK10	0
PRCP	0
APBB2	0
RGS2	0
SLC37A4	-2
SUPV3L1	0
PTPRK	0
FAM63A	-3
DFFB	0
EDN1	0
RAE1	0
MTF2	0
HSPB1	0
CCNA1	0
FAM20B	-2
LRRC41	0
IGHMBP2	0
COPB2	2
BID	2
CXCR4	2
DECR1	0
GTPBP8	0
MACF1	0
PIK3R4	0
HSD17B10	0
G3BP1	4
TSTA3	0
PSMD9	2
PAK1	0
WDTC1	0
KDM5B	0
CHMP4A	0
MNAT1	0
FBXL12	0
HEBP1	0
MBNL2	0
MAST2	0
FBXO21	0
GFPT1	0
CYCS	2
HMOX1	0
KIAA1279	0
GRB10	0
ME2	0
MALT1	0
AXIN1	0
CLSTN1	4
POLR1C	0
RPIA	0
EPHA3	2
WDR61	0
PNKP	2
P4HA2	0
TICAM1	0
SLC11A2	-5
DYRK3	0
TRIB3	0
PKIG	0
ATP11B	0
STXBP2	0
DCK	-4
CCNB1	0
DFFA	0
FUT1	0
RFX5	0
BDH1	0
RBM34	0
ZNF131	0
EXT1	0
PRPF4	0
TOPBP1	-2
HLA.DMA	3
CYTH1	2
PPP1R13B	0
PTPN1	2
SMARCC1	2
HMG20B	0
ITGB1BP1	0
SYNE2	0
EPN2	0
POLG2	0
IGF2BP2	0
SQRDL	0
FOXJ3	-2
NOSIP	0
CERK	2
CENPE	0
TPD52L2	2
PTK2B	0
RRP8	0
COPS7A	0
SDHB	0
RFC2	0
TLE1	0
SOX4	3
TSPAN3	3
DNAJB1	2
RPS5	0
GATA3	0
CSNK1E	3
PTPLAD1	0
DUSP22	0
SCYL3	0
PIK3C2B	0
DERA	-4
DUSP3	-2
SLC25A14	2
DDIT4	0
PGRMC1	0
LSM6	-3
ECH1	-2
GNAI2	2
MAPKAPK2	0
PUF60	0
SHC1	0
NUDT9	0
STX1A	0
PHKG2	0
STK25	0
LYN	0
HERPUD1	0
BRCA1	-2
NGRN	0
DUSP6	0
KIAA1033	3
TGFB3	0
MAPKAPK5	0
GFOD1	0
CDC25B	0
INPP4B	0
PTPN12	0
ASCC3	0
EAPP	2
BLMH	0
NFATC4	0
LYRM1	0
TIMM9	-4
UGDH	0
S100A4	0
MAP2K5	0
RNF167	0
LGMN	4
CNPY3	0
SLC5A6	2
USP6NL	0
RTN2	0
KIAA0907	0
TATDN2	0
TSKU	0
HN1L	0
PDLIM1	0
PYGL	0
SLC25A46	0
NUCB2	0
CLIC4	0
GADD45A	0
SQSTM1	2
TERF2IP	2
XPNPEP1	-2
EED	0
ARHGEF12	2
FPGS	0
FOXO4	0
ABHD4	0
HOMER2	0
COL1A1	2
RAC2	0
SMC3	0
LYPLA1	-2
DNMT1	0
HES1	0
EPB41L2	0
JMJD6	0
CTSL1	0
ALDOC	0
WIPF2	0
KIAA0528	0
SMARCD2	0
ACBD3	2
SYNGR3	0
GTF2A2	0
MCOLN1	2
SMAD3	0
NUP93	0
ZNF274	0
GDPD5	0
SUV39H1	-6
EIF5	0
FAM57A	0
BIRC5	-2
UBE3B	0
PLP2	0
ANKRD10	0
PLK1	0
FASTKD5	-2
DDB2	0
POLR2K	-2
GHR	0
ICMT	0
BLVRA	0
PTPRF	0
CXCL2	0
MKNK1	2
GNAI1	2
THAP11	0
EGFR	0
DNAJC15	-2
MRPL19	-5
TRIM13	0
IKBKB	0
SLC25A4	2
UBE2C	-4
SLC27A3	-3
ATP6V0B	0
SKP1	3
SESN1	2
TFDP1	0
CNOT4	4
DHRS7	-2
IKZF1	0
ARHGAP1	0
PAFAH1B1	2
ZDHHC6	-2
LSM5	-2
MYLK	2
MAPKAPK3	0
DUSP4	0
YTHDF1	0
SPTLC2	0
FCHO1	0
LPGAT1	-3
PAPD7	0
SH3BP5	0
TSEN2	0
PIK3CA	0
UFM1	-2
USP14	0
CASP10	0
EZH2	0
APOE	-2
CBR3	0
PCMT1	0
CCNB2	-5
MSH6	0
ZNF451	0
GRB7	0
REEP5	0
MBNL1	-2
FBXO11	-2
FRS2	0
POLE2	-6
DCUN1D4	0
TBPL1	0
ERBB3	0
ATP1B1	0
FAS	0
CREB1	0
ERBB2	0
PIN1	2
SYK	0
TRAK2	0
HSPD1	0
SLC1A4	0
CETN3	0
CDK1	-3
CDKN1B	-2
PLA2G15	2
MRPL12	0
GNPDA1	-2
MOK	0
PTK2	2
CALU	0
TRIM2	-2
