Genes	JQ1
NPDC1	0
PPARD	7
HMGCR	0
SMNDC1	0
MMP2	0
CD44	0
CDH3	0
DUSP11	0
STK10	0
PRCP	0
APBB2	6
RGS2	0
SLC37A4	0
SUPV3L1	0
PTPRK	0
FAM63A	-5
DFFB	0
EDN1	0
RAE1	-6
MTF2	0
HSPB1	-10
CCNA1	0
FAM20B	-5
LRRC41	-9
IGHMBP2	0
COPB2	0
BID	0
CXCR4	5
DECR1	-11
GTPBP8	0
MACF1	0
PIK3R4	0
HSD17B10	-6
G3BP1	6
TSTA3	0
PSMD9	0
PAK1	0
WDTC1	5
KDM5B	0
CHMP4A	12
MNAT1	0
FBXL12	0
HEBP1	5
MBNL2	0
MAST2	11
FBXO21	8
GFPT1	-7
CYCS	0
HMOX1	0
KIAA1279	0
GRB10	0
ME2	0
MALT1	0
AXIN1	0
CLSTN1	8
POLR1C	0
RPIA	-11
EPHA3	0
WDR61	0
PNKP	13
P4HA2	0
TICAM1	0
SLC11A2	-6
DYRK3	6
TRIB3	-7
PKIG	-10
ATP11B	0
STXBP2	0
DCK	-8
CCNB1	-8
DFFA	0
FUT1	0
RFX5	0
BDH1	-12
RBM34	0
ZNF131	0
EXT1	0
PRPF4	5
TOPBP1	0
HLA.DMA	0
CYTH1	8
PPP1R13B	5
PTPN1	11
SMARCC1	0
HMG20B	0
ITGB1BP1	0
SYNE2	5
EPN2	0
POLG2	7
IGF2BP2	0
SQRDL	0
FOXJ3	0
NOSIP	8
CERK	5
CENPE	0
TPD52L2	0
PTK2B	0
RRP8	0
COPS7A	-7
SDHB	-7
RFC2	-5
TLE1	7
SOX4	5
TSPAN3	12
DNAJB1	9
RPS5	0
GATA3	0
CSNK1E	0
PTPLAD1	0
DUSP22	0
SCYL3	0
PIK3C2B	0
DERA	-6
DUSP3	0
SLC25A14	0
DDIT4	6
PGRMC1	-8
LSM6	-6
ECH1	-9
GNAI2	10
MAPKAPK2	9
PUF60	0
SHC1	0
NUDT9	0
STX1A	0
PHKG2	7
STK25	0
LYN	0
HERPUD1	0
BRCA1	-7
NGRN	0
DUSP6	7
KIAA1033	13
TGFB3	0
MAPKAPK5	0
GFOD1	6
CDC25B	0
INPP4B	0
PTPN12	5
ASCC3	0
EAPP	0
BLMH	-8
NFATC4	0
LYRM1	0
TIMM9	-12
UGDH	0
S100A4	0
MAP2K5	-5
RNF167	-12
LGMN	14
CNPY3	0
SLC5A6	0
USP6NL	-6
RTN2	0
KIAA0907	0
TATDN2	0
TSKU	-7
HN1L	0
PDLIM1	-7
PYGL	5
SLC25A46	0
NUCB2	-13
CLIC4	0
GADD45A	10
SQSTM1	10
TERF2IP	13
XPNPEP1	0
EED	-6
ARHGEF12	6
FPGS	0
FOXO4	-5
ABHD4	0
HOMER2	0
COL1A1	0
RAC2	0
SMC3	0
LYPLA1	-8
DNMT1	0
HES1	0
EPB41L2	0
JMJD6	-12
CTSL1	0
ALDOC	11
WIPF2	6
KIAA0528	-5
SMARCD2	0
ACBD3	0
SYNGR3	-6
GTF2A2	0
MCOLN1	8
SMAD3	0
NUP93	0
ZNF274	0
GDPD5	7
SUV39H1	-14
EIF5	0
FAM57A	-11
BIRC5	-11
UBE3B	7
PLP2	0
ANKRD10	0
PLK1	-11
FASTKD5	0
DDB2	-11
POLR2K	-8
GHR	0
ICMT	0
BLVRA	0
PTPRF	0
CXCL2	0
MKNK1	5
GNAI1	8
THAP11	0
EGFR	0
DNAJC15	0
MRPL19	-11
TRIM13	0
IKBKB	5
SLC25A4	12
UBE2C	-11
SLC27A3	0
ATP6V0B	0
SKP1	5
SESN1	0
TFDP1	-8
CNOT4	7
DHRS7	0
IKZF1	0
ARHGAP1	0
PAFAH1B1	0
ZDHHC6	-11
LSM5	-12
MYLK	0
MAPKAPK3	0
DUSP4	0
YTHDF1	0
SPTLC2	7
FCHO1	0
LPGAT1	-14
PAPD7	0
SH3BP5	6
TSEN2	-10
PIK3CA	0
UFM1	0
USP14	0
CASP10	5
EZH2	-5
APOE	0
CBR3	0
PCMT1	8
CCNB2	-12
MSH6	0
ZNF451	8
GRB7	0
REEP5	0
MBNL1	-5
FBXO11	0
FRS2	0
POLE2	-13
DCUN1D4	0
TBPL1	0
ERBB3	0
ATP1B1	5
FAS	-9
CREB1	0
ERBB2	0
PIN1	8
SYK	6
TRAK2	0
HSPD1	0
SLC1A4	0
CETN3	0
CDK1	-7
CDKN1B	0
PLA2G15	10
MRPL12	-11
GNPDA1	-8
MOK	-5
PTK2	0
CALU	0
TRIM2	0
IQGAP1	6
FOS	7
ADH5	0
MYCBP2	10
CREG1	5
RPA2	-7
SLC2A6	0
DNM1	0
PAK6	0
HYOU1	0
PDGFA	0
ABCF1	7
KIAA0100	7
TIPARP	9
HS2ST1	10
USP7	0
CHEK1	-9
NPEPL1	0
SMARCA4	0
CRELD2	0
YME1L1	0
TUBB6	0
ENOSF1	0
RALA	0
MUC1	-6
AGL	5
NISCH	5
NFKB2	5
PSMG1	-5
BCL2	-5
ADI1	10
SCP2	-12
HOOK2	0
ORC1	0
WDR7	5
BLCAP	0
SPDEF	0
STAT5B	0
ACAT2	-8
HADH	-10
RHEB	-10
MBTPS1	12
DPH2	0
RPA1	0
HSD17B11	-8
TIMM22	6
CDCA4	-6
TOMM34	0
VPS28	0
PLEKHM1	0
TCERG1	-11
CORO1A	0
PLSCR1	-10
RAP1GAP	-6
PCK2	0
FAIM	0
ELOVL6	-10
PIK3C3	0
POLR2I	-10
DHDDS	0
SACM1L	0
ELAC2	-6
RAD9A	6
TOP2A	-11
SNX6	6
IGF1R	0
PPP2R5A	7
TBX2	0
CPNE3	13
NIPSNAP1	0
ZNF589	0
RAB4A	10
ICAM1	0
SNX11	0
RAI14	-5
PCM1	7
CAMSAP2	0
GNA11	0
FKBP14	-5
PIP4K2B	0
BAMBI	10
HPRT1	0
CD40	0
ABCC5	11
SGCB	0
CAPN1	0
ABL1	-7
FAM69A	0
PLCB3	7
LAGE3	9
TXNRD1	11
TNFRSF21	0
TSC22D3	-7
CHIC2	0
PIH1D1	0
ABCF3	9
ARHGEF2	-5
APPBP2	0
BACE2	-7
RAB11FIP2	6
CCNE2	0
KIAA0355	0
KDM5A	8
ERO1L	0
ZNF395	0
NRIP1	0
CDC45	-5
ZNF318	0
HDAC2	-6
PRR7	8
DAXX	0
ACAA1	6
NT5DC2	-9
EML3	-13
MAN2B1	12
ATF1	-10
CASC3	6
NCAPD2	0
TMEM109	-14
CRYZ	-14
METRN	10
SHB	0
PRSS23	-10
ARID5B	0
PRAF2	11
ETS1	0
PMAIP1	8
SPTAN1	0
ARL4C	6
MAPK13	-10
EIF4EBP1	-7
PSMD10	0
C2CD2L	0
CDK7	0
PPARG	-10
DSG2	0
NFIL3	7
NUP88	-7
LIG1	0
FAH	-10
TBXA2R	0
CHEK2	-10
NIT1	0
HSPA4	0
PAN2	0
STAP2	0
TMEM97	0
SUZ12	0
RHOA	7
CDK5R1	6
TMCO1	0
TERT	0
PAX8	0
IKBKE	-12
MRPS16	0
HIF1A	0
SMC1A	0
HSPA8	0
GRN	0
PRKCD	0
UBE2L6	-5
TXNDC9	0
HTRA1	0
MYBL2	-5
BHLHE40	0
PCCB	6
IPO13	0
MYO10	0
EDEM1	0
NOS3	0
KIAA0494	0
CLPX	0
ID2	6
SMC4	0
ATP2C1	0
RB1	0
NRAS	-7
BZW2	0
AURKA	-9
DHX29	7
PTPN6	0
PWP1	0
MAPK9	0
ASAH1	0
EGR1	7
HTATSF1	0
PSMD4	6
KCTD5	7
TBC1D9B	0
GPR56	-6
CD58	-9
CAB39	0
TNIP1	0
TM9SF2	0
HIST1H2BK	13
GLRX	0
MAP3K4	0
TIAM1	0
SRC	-6
RAB21	6
KIF14	-9
PDHX	-12
ZW10	-6
XBP1	-11
MTA1	0
CDK2	0
CANT1	0
TFAP2A	0
PXMP2	-8
BUB1B	-5
NFKBIB	0
KIAA0196	0
RSU1	5
TIMELESS	6
SCAND1	7
DDX10	-6
CCNH	5
TMED10	0
BPHL	0
PHF15	-14
C2CD2	-9
RPA3	0
RBM6	11
LOXL1	-7
NR2F6	-8
PSMF1	0
NFE2L2	0
RRP12	0
MRPS2	-8
PIK3R3	11
UBQLN2	13
DNAJB2	0
NR3C1	0
HAT1	0
KLHL9	0
H2AFV	0
E2F2	0
WDR67	0
GAA	5
NOL3	5
SIRT3	7
BTK	0
CALM3	0
PFKL	7
TOMM70A	-6
MSRA	0
COG2	7
TCEA2	0
TLR4	-5
AURKB	0
MICALL1	-10
HDGFRP3	-10
DNTTIP2	-8
OXCT1	-7
PCBD1	-12
GNB5	10
ATF6	0
MCM3	-8
AKAP8L	10
ITFG1	0
RNPS1	0
SERPINE1	0
COL4A1	-6
ISOC1	0
CHMP6	-8
STUB1	12
SOCS2	0
UBE2A	9
ILK	-7
BNIP3	10
NCOA3	6
NVL	0
ICAM3	-12
DDX42	0
NENF	0
IL4R	0
TM9SF3	0
MTHFD2	-7
GLI2	0
CBLB	8
TP53	0
IER3	0
BCL7B	0
CDK6	0
PAFAH1B3	-9
RNH1	0
CEBPD	0
VAPB	0
CSK	0
NPRL2	5
PACSIN3	-6
GRWD1	0
TSPAN6	-7
CSRP1	0
SNAP25	0
SLC25A13	-8
CCDC90A	0
CD320	0
ST6GALNAC2	0
ZFP36	10
FZD7	8
PXN	0
TGFBR2	-6
COG4	10
MLEC	0
EXOSC4	0
GALE	7
SYPL1	-6
PGAM1	-6
RELB	0
HLA.DRA	0
C5	0
MYL9	-5
EGF	0
ZMYM2	0
PLS1	0
CTNNAL1	7
OXSR1	0
CNDP2	-7
FYN	9
SLC35A3	5
TRAM2	7
MEST	0
PLA2G4A	5
DRAP1	0
DLD	5
ARPP19	-8
PAICS	-10
NCK1	0
AKR7A2	12
SENP6	-8
KLHL21	8
CDKN1A	0
NFKBIE	7
SCRN1	-5
PRUNE	0
CAT	9
DUSP14	10
RPS6KA1	5
LSR	0
GPATCH8	0
PDS5A	-8
CRK	8
FHL2	-9
PRKCQ	6
SNX13	0
GSTZ1	8
PGM1	0
ZNF586	-6
PAK4	0
P4HTM	0
RASA1	0
CTNND1	0
FGFR2	0
RRAGA	12
CDK19	6
CYB561	-9
FAT1	8
SPR	-10
HOXA10	-6
MYCBP	0
NUDCD3	6
KIT	0
PHKA1	5
TWF2	0
NOLC1	0
PECR	0
ELAVL1	0
IARS2	0
GATA2	0
SLC35F2	-9
BNIP3L	14
PPP2R3C	0
GPER	0
ZMIZ1	0
NUP85	-9
MAP7	0
