Drugs,LSM_ID,LINK2,Drug_Repurposing_Hub,CLUE,Manual
10-DEBC,LSM-4710,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4710'>LSM-4710</a>,#N/A,#N/A,#N/A
phorbol-myristate-acetate,LSM-25630,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-25630'>LSM-25630</a>,#N/A,#N/A,#N/A
"16,16-dimethylprostaglandin-e2",LSM-43285,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43285'>LSM-43285</a>,#N/A,#N/A,#N/A
17-hydroxyprogesterone-caproate,LSM-4900,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4900'>LSM-4900</a>,#N/A,#N/A,#N/A
2-iminobiotin,LSM-45242,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45242'>LSM-45242</a>,#N/A,#N/A,#N/A
2-methoxyestradiol,LSM-45490,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45490'>LSM-45490</a>,#N/A,#N/A,#N/A
"2',5'-dideoxyadenosine",LSM-4354,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4354'>LSM-4354</a>,#N/A,#N/A,#N/A
3-amino-benzamide,LSM-4525,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4525'>LSM-4525</a>,#N/A,#N/A,#N/A
3-deazaadenosine,LSM-45781,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45781'>LSM-45781</a>,#N/A,#N/A,#N/A
"3,3'-diindolylmethane",LSM-4610,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4610'>LSM-4610</a>,#N/A,#N/A,#N/A
"4,5,6,7-tetrabromobenzotriazole",LSM-4192,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4192'>LSM-4192</a>,#N/A,#N/A,#N/A
5-aminolevulinic-acid,LSM-5677,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5677'>LSM-5677</a>,#N/A,#N/A,#N/A
fluorouracil,LSM-4261,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4261'>LSM-4261</a>,#N/A,#N/A,#N/A
A-443654,LSM-1045,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1045'>LSM-1045</a>,#N/A,#N/A,#N/A
A-66,LSM-1204,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1204'>LSM-1204</a>,#N/A,#N/A,#N/A
A-769662,LSM-1175,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1175'>LSM-1175</a>,#N/A,#N/A,#N/A
abacavir,LSM-45963,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45963'>LSM-45963</a>,#N/A,#N/A,#N/A
abiraterone-acetate,LSM-45880,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45880'>LSM-45880</a>,#N/A,#N/A,#N/A
ABT-202,LSM-45604,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45604'>LSM-45604</a>,#N/A,#N/A,#N/A
ABT-239,LSM-45529,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45529'>LSM-45529</a>,#N/A,#N/A,#N/A
ABT-724,LSM-15492,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-15492'>LSM-15492</a>,#N/A,#N/A,#N/A
ABT-737,LSM-1180,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-1180'>LSM-1180</a>,BCL inhibitor,BCL inhibitor,N/A
acarbose,LSM-4631,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4631'>LSM-4631</a>,#N/A,#N/A,#N/A
acebutolol,LSM-4384,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-4384'>LSM-4384</a>,#N/A,#N/A,#N/A
acecainide,LSM-45665,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45665'>LSM-45665</a>,#N/A,#N/A,#N/A
acenocoumarol,LSM-5112,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5112'>LSM-5112</a>,#N/A,#N/A,#N/A
acetazolamide,LSM-5543,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5543'>LSM-5543</a>,#N/A,#N/A,#N/A
acetylcysteine,LSM-45626,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45626'>LSM-45626</a>,#N/A,#N/A,#N/A
acexamic-acid,LSM-45740,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45740'>LSM-45740</a>,#N/A,#N/A,#N/A
acifran,LSM-45845,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45845'>LSM-45845</a>,#N/A,#N/A,#N/A
acipimox,LSM-5726,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5726'>LSM-5726</a>,#N/A,#N/A,#N/A
acivicin,LSM-45583,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45583'>LSM-45583</a>,#N/A,#N/A,#N/A
aclidinium,LSM-45884,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45884'>LSM-45884</a>,#N/A,#N/A,#N/A
acrivastine,LSM-45461,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45461'>LSM-45461</a>,#N/A,#N/A,#N/A
actarit,LSM-5475,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5475'>LSM-5475</a>,#N/A,#N/A,#N/A
ACY-1215,LSM-6324,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-6324'>LSM-6324</a>,#N/A,#N/A,#N/A
acyclovir,LSM-5459,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-5459'>LSM-5459</a>,#N/A,#N/A,#N/A
adapalene,LSM-37048,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-37048'>LSM-37048</a>,#N/A,#N/A,#N/A
adarotene,LSM-45863,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45863'>LSM-45863</a>,#N/A,#N/A,#N/A
adatanserin,LSM-45850,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45850'>LSM-45850</a>,#N/A,#N/A,#N/A
adenosine,LSM-28568,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-28568'>LSM-28568</a>,#N/A,#N/A,#N/A
adoprazine,LSM-45419,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45419'>LSM-45419</a>,#N/A,#N/A,#N/A
AEE-788,LSM-45507,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45507'>LSM-45507</a>,#N/A,#N/A,#N/A
afatinib,LSM-43226,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-43226'>LSM-43226</a>,EGFR inhibitor,EGFR inhibitor,N/A
afatinib,LSM-42794,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-42794'>LSM-42794</a>,EGFR inhibitor,EGFR inhibitor,N/A
afloqualone,LSM-45800,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45800'>LSM-45800</a>,#N/A,#N/A,#N/A
AGI-5198,LSM-45669,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45669'>LSM-45669</a>,#N/A,#N/A,#N/A
AGI-6780,LSM-45921,<a href='http://lincsportal.ccs.miami.edu/SmallMolecules/view/LSM-45921'>LSM-45921</a>,#N/A,#N/A,#N/A
