Genes	log2FoldChange
MMP1	7.831933917
AURKA	3.439603969
CDK1	3.522817106
UBE2C	4.395644929
PLK1	3.748813963
ERBB2	4.271817383
CCNB1	2.821541495
MELK	4.163255072
CCNE2	3.537729113
KIF2C	3.650449708
MYBL2	4.095558269
CXCL2	-4.368294628
CCNB2	3.498563552
NUSAP1	3.307265885
CENPE	3.036068565
CCNA2	3.027265567
CDC20	3.614332975
KIF14	3.888242496
TOP2A	4.368937965
PTGS2	-4.095186072
KIF20A	3.79820336
BUB1B	3.37726994
MYLK	-2.654353076
PPARG	-3.749662558
PLA2G4A	-2.756447487
AURKB	3.501301979
CDC45	3.605667794
KIT	-3.689801601
PROS1	-2.287220918
BIRC5	3.645670482
EGR1	-3.214784078
PYCR1	2.854995443
EZH2	2.428061247
GRB7	3.727048485
TGFBR2	-2.339838786
METRN	3.290316955
FOS	-3.302330009
ORC1	2.705181083
PAFAH1B3	2.615720355
LAGE3	2.146114644
RGS2	-2.826499599
GHR	-3.053741937
E2F2	2.613888014
SYNGR3	3.119405914
KCNK1	2.652800726
TSTA3	2.097587247
TRIB3	2.264929921
CCNF	2.061907662
HOXA5	-2.604495165
CDC25A	2.291794364
ADRB2	-2.53516744
NVL	1.725467037
GALE	2.092403297
LAMA3	-2.777483806
GNAI1	-2.542558277
SNCA	-2.098495322
MTHFD2	1.822874143
ZFP36	-2.531848852
NR3C1	-1.951745726
HIST1H2BK	2.255660387
TIMELESS	1.644645137
MUC1	2.922505072
HN1L	1.627046516
FZD7	-1.924668327
COL1A1	2.539891864
CAT	-2.091865279
POLE2	1.99355295
EPB41L2	-1.951810014
PCNA	1.588807128
CYB561	1.910078169
STX1A	2.027040246
FGFR4	3.105236285
STMN1	1.882944514
CANT1	1.697379775
TMEM97	2.023700968
WASF3	-2.173667092
STAT5B	-1.615102812
SMC4	1.591080219
CHEK1	1.603992483
SLC35B1	1.88319522
MIF	1.998132362
EGFR	-2.284956739
SOX2	3.541305422
SPP1	2.412974735
KLHL21	-1.534638344
CHAC1	2.046970722
HIST2H2BE	1.860145174
PSRC1	1.703957118
LSR	1.671425463
PRR15L	2.292257369
PMM2	1.360894191
ATP6V0B	1.44297289
PRR7	1.983293026
MEST	-1.7680908
TERT	2.445185038
SPAG4	1.780907283
SLC2A6	1.69182396
ARID5B	-1.460885557
TRIM2	-1.709036477
PARP1	1.302658962
SPDEF	2.039391153
MBOAT7	1.46928798
SOCS2	-1.757379438
KCTD5	1.280662902
CDKN2A	1.865352691
INPP1	-1.383475935
IGF2BP2	-1.733039574
ALDOA	1.434338683
C2CD2	-1.657917012
MYL9	-1.498213149
CEBPA	-1.880664585
JUN	-1.577086098
MYC	-1.579391725
SGCB	-1.468389241
EXOSC4	1.497408991
NR2F6	1.414117838
PSME2	1.366264749
MSRA	-1.414128804
ALDOC	-1.766409
PAK4	1.461147516
WDR67	1.392425816
CLTC	1.433758111
HSPB1	1.586536342
RAB31	1.42412584
STAT1	1.411942815
PDGFA	-1.427202929
CTSD	1.452792029
LOXL1	1.460519595
MEF2C	-1.313237609
MTFR1	1.333800238
FKBP4	1.360294057
MLLT11	1.535620425
TIMM17B	1.307959403
EBP	1.359531719
HOXA10	-1.595216709
RFC2	1.239675478
PNP	1.320131419
MRPL12	1.414613062
FOXO4	-1.235561535
WIPF2	1.475822634
ARNT2	1.622850666
KDM5B	1.266804378
DNMT3A	1.243438985
STXBP1	-1.351899398
TUBB6	-1.354657572
CDC25B	1.305709654
ABCC5	1.371176014
RPL39L	1.328114536
ADCK3	-1.365245414
PECR	-1.489015894
FAM69A	-1.300313233
SH3BP5	-1.237414955
ITGB1BP1	-1.360098875
LPAR2	1.354179523
RAE1	1.218153217
GATA3	1.449995831
VAV3	1.419393124
CDCA4	1.205137684
HSD17B11	-1.287231094
BAX	1.243993107
