Genes	log2FoldChange
CDH3	6.070915394
TRIB3	3.68781978
PRR7	2.891467867
FUT1	2.702158019
MMP1	4.197273042
KIF14	2.143119565
DUSP4	3.574338094
GNA11	-1.895026736
TFAP2A	3.59007662
FOSL1	3.103789553
CDC25B	2.074473387
UBE2C	2.100793741
GDPD5	2.629265311
SPP1	3.795770482
MYL9	-3.008485002
MYLK	-3.051673811
CSRP1	-2.170221485
TOMM34	1.828870065
COL1A1	2.811508902
CCND1	1.749536012
PMAIP1	2.135698129
PYCR1	1.700772913
UGDH	-1.787193299
MYBL2	1.948563484
SOX4	1.715373842
MYC	1.847269026
PXMP2	-1.686405808
CASP7	-1.713809633
RRP12	1.491049905
GPER	-2.349606122
SQRDL	-1.664901512
CENPE	1.672477334
DUSP14	1.627929392
CHP	-1.561842983
UTP14A	1.538722185
KIF20A	1.595842582
CDK1	1.623893871
RAB27A	-1.637245813
CDKN2A	2.387844019
SLC5A6	1.721043681
PGM1	-1.626750179
TOP2A	1.558599281
TMEM97	1.602466122
STX1A	1.817072192
AURKA	1.574146627
HMOX1	-1.77936192
CXCL2	2.194050071
MTHFD2	1.521275987
RBKS	-1.536683906
HSPD1	1.439327292
KIF2C	1.488037911
BMP4	1.862236517
CCDC86	1.392302112
FGFR2	-2.12552438
RUVBL1	1.335433997
CDC45	1.592898875
SERPINE1	2.062472365
ADRB2	-1.953570468
SSBP2	-1.799658327
MELK	1.445178415
GHR	-2.046696448
PAICS	1.376843653
TPM1	-1.547525966
BIRC5	1.495662511
RRS1	1.419014335
PAFAH1B3	1.359689899
BHLHE40	1.512261846
CCNB1	1.451309972
HSD17B11	-1.361161513
NR3C1	-1.690333438
DDIT4	1.570427299
DHDDS	-1.293558771
PLS1	-1.420509715
CCNA1	-2.147582347
BUB1B	1.392793533
CHAC1	1.589782869
KIF5C	-1.853011995
KIT	-1.79134326
NT5DC2	1.399071314
CCNF	1.345629622
BRCA1	1.357729281
CDK4	1.291747047
PEX11A	-1.325526106
