Genes	log2FoldChange
FTHL3	-6.66348143
LOC442454	-4.239045655
RRM2	7.392458588
NACAP1	-4.145976826
UBE2C	7.698857578
TOP2A	7.339391169
NCAPG	6.57143447
PBK	7.515594075
MYBL2	7.989738053
PPIAL4C	-3.981651739
CCNB2	7.143222482
KIF20A	6.997918287
BUB1	6.016826119
NDC80	7.07245934
CMTM3	3.129553201
NUSAP1	5.58517606
KIF4A	5.635569999
CDK2	3.519011362
MELK	7.313705136
ASF1B	5.849098883
HJURP	6.182456756
MAPK9	-2.290051744
WEE1	4.094697049
DLGAP5	7.746763836
FAM64A	6.994305864
AURKB	7.219110122
CEP55	5.665551548
TROAP	6.692140354
CAMKK2	-2.688395811
EPR1	6.591833526
KIAA0101	5.999304581
EZH2	4.779734809
NSF	-3.011337244
KIF2C	5.313046173
PA2G4P4	2.374572454
LOC643387	-4.90398055
F2R	4.638184358
CDC45	7.314028894
FAM126B	-2.432120278
CENPA	5.966763804
KIFC1	5.63444694
BIRC5	5.937671644
FOXM1	4.958530819
CENPK	5.482770167
WDR7	-2.312266753
MLF1IP	4.933456444
TSPYL1	-2.718740577
ZNF90	3.894001718
ATP5EP2	3.712972234
PREPL	-2.327755107
IQGAP2	4.749103675
BUB1B	5.111219677
GTSE1	5.360613482
SYNJ1	-2.743114959
ATP6V1C1	-2.102127964
SHOX2	7.87718644
CDK1	4.846869656
CDCA7	4.249493569
PPP3CA	-2.354078839
CAMK1D	-3.197245784
C2CD2L	-2.46314171
EIF4EBP1	3.504907252
DGKZ	-3.179408952
TGIF1	2.796613192
VIM	3.388455266
RGPD4	-2.0716533
ATP6V1A	-2.166751086
KIF18A	5.085084832
KIF23	4.567963922
PPP3R1	-2.147031364
PAK1	-3.242980131
?	-4.368935532
TOLLIP	-2.337490332
RPS27	4.03579507
TGFB1I1	3.548068232
TTK	5.532002732
KIF3A	-2.652602449
KIF14	5.473810736
YWHAG	-2.27657376
CDCA2	5.595485344
MKI67	5.58874839
NRM	3.197100553
KIAA0513	-4.294341261
FAM111B	5.652020706
GLS	-2.762188367
DTL	4.85191474
IGFBP2	5.520335937
ESCO2	5.430761496
GPRASP2	-2.318182578
SKA1	5.051096616
PKMYT1	5.014136225
CCNA2	4.142122744
PRKCE	-3.499204987
CAMTA2	-2.339305484
ESPL1	4.866294985
DLG4	-3.069498897
NOX4	5.05487998
MEF2C	-2.746738688
PLEKHA1	-2.592422262
E2F7	5.066378129
NUF2	4.743069362
CALM3	-2.470066011
HOXC4	4.754121564
PPP3CB	-2.780441012
MADD	-2.497125389
RAD51	4.422318059
MYCBP2	-2.809332532
SYDE1	2.4865916
FAM131A	-2.014982886
FAM73A	-2.385306535
BTRC	-2.287049625
COL4A1	4.701346189
MAP2K4	-2.078981898
ATP6V0A1	-2.294911523
