Genes	log2FoldChange
KIF5C	4.047496148
CALU	-3.650886991
EGFR	-8.564960132
RUVBL1	-2.525921712
SMC4	-4.973083062
PLK1	-5.155722571
PSMB8	-3.184543877
AURKA	-5.245584675
CCNA2	-6.175622329
PSME2	-2.628010545
AARS	1.832593556
CASP3	-2.855785587
MELK	-9.961732953
CDK2	-4.979025277
MCM3	-2.764279498
APOE	7.264986538
TUBB6	-3.682916229
HEATR1	-2.502437838
CASP2	-2.511325932
KIF20A	-9.032597413
CCNB1	-4.170223526
CDK4	-2.704431616
EZH2	-6.267572486
PRCP	-2.170158508
TBC1D9B	2.055785051
AURKB	-9.074076588
MMP2	-4.278392189
CCNB2	-9.383290367
KDELR2	-2.478354787
TCTN1	-2.209601697
FKBP14	-3.209267009
CDK1	-7.205170852
UBE2C	-10.14485531
KCNK1	14.11412942
